Week_of_Year,Date,Board_Number,Site_Type,Board_Type,Species,Count,Daily_Precipitation,Weekly_Precipitation,Maximum_Temperature
43,10/23/18,38,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,39,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
43,10/23/18,40,Transitional Forest,Artificial,NA,0,0,0.9652,12.22222222
44,10/30/18,1,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,2,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,3,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,4,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,5,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,6,Mature Forest,Natural,RB,1,0.7112,5.0546,6.666666667
44,10/30/18,7,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,8,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,9,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,10,Mature Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,11,Transitional Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,12,Transitional Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,13,Transitional Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,14,Transitional Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,15,Transitional Forest,Natural,RB,1,0.7112,5.0546,6.666666667
44,10/30/18,16,Transitional Forest,Natural,RB,1,0.7112,5.0546,6.666666667
44,10/30/18,17,Transitional Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,18,Transitional Forest,Natural,RB,1,0.7112,5.0546,6.666666667
44,10/30/18,19,Transitional Forest,Natural,RB,1,0.7112,5.0546,6.666666667
44,10/30/18,20,Transitional Forest,Natural,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,21,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,22,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,23,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,24,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,25,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,26,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,27,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,28,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,29,Mature Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,30,Mature Forest,Artificial,RB,1,0.7112,5.0546,6.666666667
44,10/30/18,31,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,32,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,33,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,34,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,35,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,36,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,37,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,38,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,39,Transitional Forest,Artificial,NA,0,0.7112,5.0546,6.666666667
44,10/30/18,40,Transitional Forest,Artificial,RB,1,0.7112,5.0546,6.666666667
45,11/6/18,1,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,2,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,3,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,4,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,5,Mature Forest,Natural,RB,1,0.6858,6.35,14.44444444
45,11/6/18,6,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,7,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,8,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,9,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,10,Mature Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,11,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,12,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,13,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,14,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,15,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,16,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,17,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,18,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,19,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,20,Transitional Forest,Natural,NA,0,0.6858,6.35,14.44444444
45,11/6/18,21,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,22,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,23,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,24,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,25,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,26,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,27,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,28,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,29,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,30,Mature Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,31,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,32,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,33,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,34,Transitional Forest,Artificial,RB,1,0.6858,6.35,14.44444444
45,11/6/18,35,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,36,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,37,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,38,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,39,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
45,11/6/18,40,Transitional Forest,Artificial,NA,0,0.6858,6.35,14.44444444
46,11/13/18,1,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,2,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,3,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,4,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,5,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,6,Mature Forest,Natural,RB,1,0,0,4.444444444
46,11/13/18,7,Mature Forest,Natural,RB,1,0,0,4.444444444
46,11/13/18,8,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,9,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,10,Mature Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,11,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,12,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,13,Transitional Forest,Natural,RB,1,0,0,4.444444444
46,11/13/18,14,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,15,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,16,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,17,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,18,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,19,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,20,Transitional Forest,Natural,NA,0,0,0,4.444444444
46,11/13/18,21,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,22,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,23,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,24,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,25,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,26,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,27,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,28,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,29,Mature Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,30,Mature Forest,Artificial,RB,1,0,0,4.444444444
46,11/13/18,31,Transitional Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,32,Transitional Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,33,Transitional Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,34,Transitional Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,35,Transitional Forest,Artificial,RB,1,0,0,4.444444444
46,11/13/18,36,Transitional Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,37,Transitional Forest,Artificial,NA,0,0,0,4.444444444
46,11/13/18,38,Transitional Forest,Artificial,RB,1,0,0,4.444444444
46,11/13/18,39,Transitional Forest,Artificial,RB,1,0,0,4.444444444
46,11/13/18,40,Transitional Forest,Artificial,NA,0,0,0,4.444444444
37,9/12/19,1,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,2,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,3,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,4,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,5,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,6,Mature Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,7,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,8,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,9,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,10,Mature Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,11,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,11,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,12,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,13,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,14,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,14,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,14,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,14,Transitional Forest,Natural,SS,1,2.3114,2.3114,31.11111111
37,9/12/19,15,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,16,Transitional Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,17,Transitional Forest,Natural,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,18,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,19,Transitional Forest,Natural,SS,1,2.3114,2.3114,31.11111111
37,9/12/19,20,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,20,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,20,Transitional Forest,Natural,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,21,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,22,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,23,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,24,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,25,Mature Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,26,Mature Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,27,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,28,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,29,Mature Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,30,Mature Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,31,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,31,Transitional Forest,Artificial,SS,1,2.3114,2.3114,31.11111111
37,9/12/19,32,Transitional Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,33,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,34,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,35,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,35,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,35,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,36,Transitional Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,37,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,37,Transitional Forest,Artificial,SS,1,2.3114,2.3114,31.11111111
37,9/12/19,37,Transitional Forest,Artificial,SS,1,2.3114,2.3114,31.11111111
37,9/12/19,38,Transitional Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
37,9/12/19,39,Transitional Forest,Artificial,RB,1,2.3114,2.3114,31.11111111
37,9/12/19,40,Transitional Forest,Artificial,NA,0,2.3114,2.3114,31.11111111
38,9/19/19,1,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,2,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,3,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,4,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,5,Mature Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,6,Mature Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,7,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,8,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,9,Mature Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,10,Mature Forest,Natural,NA,0,0,6.6802,22.77777778
38,9/19/19,11,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,11,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,12,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,13,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,14,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,14,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,15,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,15,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,15,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,16,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,17,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,17,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,17,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,17,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,18,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,18,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,18,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,18,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,18,Transitional Forest,Natural,SS,1,0,6.6802,22.77777778
38,9/19/19,19,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,19,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,19,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,19,Transitional Forest,Natural,SS,1,0,6.6802,22.77777778
38,9/19/19,19,Transitional Forest,Natural,SS,1,0,6.6802,22.77777778
38,9/19/19,20,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,20,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,20,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,20,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,20,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,20,Transitional Forest,Natural,RB,1,0,6.6802,22.77777778
38,9/19/19,21,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,22,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,23,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,24,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,25,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,26,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,27,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,28,Mature Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,29,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,30,Mature Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,31,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,31,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,32,Transitional Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,33,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,34,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,34,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,35,Transitional Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,36,Transitional Forest,Artificial,NA,0,0,6.6802,22.77777778
38,9/19/19,37,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,38,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,38,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,39,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,40,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,40,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
38,9/19/19,40,Transitional Forest,Artificial,RB,1,0,6.6802,22.77777778
39,9/26/19,1,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,2,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,3,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,4,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,5,Mature Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,6,Mature Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,7,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,8,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,9,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,10,Mature Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,11,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,12,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,13,Transitional Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,14,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,15,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,15,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,16,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,17,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,17,Transitional Forest,Natural,RB,1,0,0.2794,25
39,9/26/19,18,Transitional Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,19,Transitional Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,20,Transitional Forest,Natural,NA,0,0,0.2794,25
39,9/26/19,21,Mature Forest,Artificial,RB,1,0,0.2794,25
39,9/26/19,22,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,23,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,24,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,25,Mature Forest,Artificial,RB,1,0,0.2794,25
39,9/26/19,26,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,27,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,28,Mature Forest,Artificial,RB,1,0,0.2794,25
39,9/26/19,29,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,30,Mature Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,31,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,32,Transitional Forest,Artificial,RB,1,0,0.2794,25
39,9/26/19,33,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,34,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,35,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,36,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,37,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,38,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,39,Transitional Forest,Artificial,NA,0,0,0.2794,25
39,9/26/19,40,Transitional Forest,Artificial,NA,0,0,0.2794,25
40,10/3/19,1,Mature Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,2,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,3,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,4,Mature Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,5,Mature Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,6,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,7,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,8,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,9,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,10,Mature Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,11,Transitional Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,12,Transitional Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,13,Transitional Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,14,Transitional Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,15,Transitional Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,16,Transitional Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,17,Transitional Forest,Natural,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,18,Transitional Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,19,Transitional Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,20,Transitional Forest,Natural,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,21,Mature Forest,Artificial,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,22,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,23,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,24,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,25,Mature Forest,Artificial,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,26,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,27,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,28,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,29,Mature Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,30,Mature Forest,Artificial,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,31,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,32,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,33,Transitional Forest,Artificial,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,34,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,35,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,36,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,37,Transitional Forest,Artificial,FT,1,0.4064,0.4318,27.77777778
40,10/3/19,37,Transitional Forest,Artificial,RB,1,0.4064,0.4318,27.77777778
40,10/3/19,38,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,39,Transitional Forest,Artificial,NA,0,0.4064,0.4318,27.77777778
40,10/3/19,40,Transitional Forest,Artificial,RB,1,0.4064,0.4318,27.77777778
41,10/10/19,1,Mature Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,1,Mature Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,2,Mature Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,3,Mature Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,4,Mature Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,5,Mature Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,6,Mature Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,7,Mature Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,8,Mature Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,9,Mature Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,10,Mature Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,11,Transitional Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,12,Transitional Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,13,Transitional Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,14,Transitional Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,15,Transitional Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,16,Transitional Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,17,Transitional Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,18,Transitional Forest,Natural,NA,0,0,0.4318,19.44444444
41,10/10/19,19,Transitional Forest,Natural,RB,1,0,0.4318,19.44444444
41,10/10/19,20,Transitional Forest,Natural,RB,1,0,0.4318,19.44444444
